==========================================
SLURM_JOB_ID = 2491972
SLURM_JOB_NODELIST = b08-12
TMPDIR = /tmp/SLURM_2491972
==========================================
Using GATK jar /home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar HaplotypeCaller -R Kr2015_Undaria.pinnatifida_superscaffolds.fasta -I SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea.mark_dupes.bam -O SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea.g.vcf.gz -ERC GVCF
09:34:37.666 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Nov 07, 2021 9:34:37 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
09:34:37.853 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:37.854 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.2.2.0
09:34:37.854 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
09:34:37.854 INFO  HaplotypeCaller - Executing as mharden@b08-12.hpc.usc.edu on Linux v3.10.0-1062.4.1.el7.x86_64 amd64
09:34:37.854 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_302-b08
09:34:37.855 INFO  HaplotypeCaller - Start Date/Time: November 7, 2021 9:34:37 AM PST
09:34:37.855 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:37.855 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:37.855 INFO  HaplotypeCaller - HTSJDK Version: 2.24.1
09:34:37.855 INFO  HaplotypeCaller - Picard Version: 2.25.4
09:34:37.856 INFO  HaplotypeCaller - Built for Spark Version: 2.4.5
09:34:37.856 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:34:37.856 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:34:37.856 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:34:37.856 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:34:37.856 INFO  HaplotypeCaller - Deflater: IntelDeflater
09:34:37.856 INFO  HaplotypeCaller - Inflater: IntelInflater
09:34:37.856 INFO  HaplotypeCaller - GCS max retries/reopens: 20
09:34:37.856 INFO  HaplotypeCaller - Requester pays: disabled
09:34:37.857 INFO  HaplotypeCaller - Initializing engine
09:34:38.575 INFO  HaplotypeCaller - Done initializing engine
09:34:38.579 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
09:34:38.591 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to 0.0 for reference-model confidence output
09:34:38.591 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
09:34:38.612 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:34:38.614 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/home1/mharden/.conda/envs/gatk4/share/gatk4-4.2.2.0-1/gatk-package-4.2.2.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
09:34:38.660 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
09:34:38.661 INFO  IntelPairHmm - Available threads: 12
09:34:38.661 INFO  IntelPairHmm - Requested threads: 4
09:34:38.661 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
09:34:38.733 INFO  ProgressMeter - Starting traversal
09:34:38.733 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:34:39.554 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position LG00:405 and possibly subsequent; at least 10 samples must have called genotypes
09:34:44.106 WARN  DepthPerSampleHC - Annotation will not be calculated at position LG00:81927 and possibly subsequent; genotype for sample CUL_Kr_Wando2017_6_South_Korea is not called
09:34:44.107 WARN  StrandBiasBySample - Annotation will not be calculated at position LG00:81927 and possibly subsequent; genotype for sample CUL_Kr_Wando2017_6_South_Korea is not called
09:34:48.747 INFO  ProgressMeter -          LG00:194679              0.2                   910           5452.9
09:34:58.764 INFO  ProgressMeter -          LG00:643282              0.3                  2870           8596.7
09:35:09.748 INFO  ProgressMeter -         LG00:1004458              0.5                  4470           8647.7
09:35:19.776 INFO  ProgressMeter -         LG00:1330731              0.7                  6030           8815.1
09:35:29.914 INFO  ProgressMeter -         LG00:1415589              0.9                  6660           7807.6
09:35:40.974 INFO  ProgressMeter -         LG00:1500811              1.0                  7120           6863.6
09:35:50.997 INFO  ProgressMeter -         LG00:1651139              1.2                  8090           6717.0
09:36:01.174 INFO  ProgressMeter -         LG00:1747541              1.4                  8760           6375.5
09:36:11.181 INFO  ProgressMeter -         LG00:1790119              1.5                  9070           5886.6
09:36:21.220 INFO  ProgressMeter -         LG00:1932036              1.7                  9860           5772.5
09:36:31.382 INFO  ProgressMeter -         LG00:1966826              1.9                 10090           5374.2
09:36:42.266 INFO  ProgressMeter -         LG00:1978154              2.1                 10160           4934.7
09:36:52.507 INFO  ProgressMeter -         LG00:1994853              2.2                 10300           4619.7
09:37:02.594 INFO  ProgressMeter -         LG00:2011747              2.4                 10420           4345.9
09:37:12.875 INFO  ProgressMeter -         LG00:2046026              2.6                 10670           4153.3
09:37:23.357 INFO  ProgressMeter -         LG00:2067916              2.7                 10850           3954.5
09:37:33.732 INFO  ProgressMeter -         LG00:2088939              2.9                 11020           3778.3
09:37:44.291 INFO  ProgressMeter -         LG00:2456493              3.1                 12770           4129.2
09:37:54.359 INFO  ProgressMeter -         LG00:2796428              3.3                 14320           4392.1
09:38:04.594 INFO  ProgressMeter -         LG00:3268826              3.4                 16340           4762.4
09:38:14.620 INFO  ProgressMeter -         LG00:3663804              3.6                 18160           5047.1
09:38:24.845 INFO  ProgressMeter -         LG00:4001121              3.8                 19810           5256.7
09:38:34.853 INFO  ProgressMeter -         LG00:4420123              3.9                 21760           5529.4
09:38:44.855 INFO  ProgressMeter -         LG00:4919351              4.1                 24110           5877.6
09:38:56.238 INFO  ProgressMeter -         LG00:4990122              4.3                 24510           5711.0
09:39:07.863 INFO  ProgressMeter -         LG00:5009293              4.5                 24650           5495.5
09:39:18.250 INFO  ProgressMeter -         LG00:5019336              4.7                 24730           5308.4
09:39:28.449 INFO  ProgressMeter -         LG00:5028075              4.8                 24800           5136.1
09:39:38.520 INFO  ProgressMeter -         LG00:5040476              5.0                 24900           4983.5
09:39:48.986 INFO  ProgressMeter -         LG00:5057573              5.2                 25010           4836.7
09:39:59.004 INFO  ProgressMeter -         LG00:5068079              5.3                 25090           4700.4
09:40:09.596 INFO  ProgressMeter -         LG00:5090712              5.5                 25270           4582.6
09:40:20.602 INFO  ProgressMeter -         LG00:5105484              5.7                 25380           4454.4
09:40:31.049 INFO  ProgressMeter -         LG00:5122546              5.9                 25530           4347.8
09:40:41.389 INFO  ProgressMeter -         LG00:5129813              6.0                 25580           4232.1
09:40:51.577 INFO  ProgressMeter -         LG00:5145925              6.2                 25710           4137.4
09:41:02.349 INFO  ProgressMeter -         LG00:5160960              6.4                 25840           4041.5
09:41:14.714 INFO  ProgressMeter -         LG00:5170007              6.6                 25890           3922.9
09:41:25.594 INFO  ProgressMeter -         LG00:5181335              6.8                 25960           3828.3
09:41:37.716 INFO  ProgressMeter -         LG00:5190416              7.0                 26020           3726.2
09:41:47.753 INFO  ProgressMeter -         LG00:5198982              7.2                 26080           3647.4
09:41:57.923 INFO  ProgressMeter -         LG00:5221323              7.3                 26250           3586.1
09:42:08.561 INFO  ProgressMeter -         LG00:5240017              7.5                 26380           3518.7
09:42:18.762 INFO  ProgressMeter -         LG00:5262673              7.7                 26550           3462.8
09:42:29.149 INFO  ProgressMeter -         LG00:5294458              7.8                 26790           3417.0
09:42:39.643 INFO  ProgressMeter -         LG00:5319931              8.0                 26980           3366.1
09:42:50.028 INFO  ProgressMeter -         LG00:5348333              8.2                 27190           3320.6
09:43:00.036 INFO  ProgressMeter -         LG00:5523800              8.4                 27990           3350.1
09:43:11.789 INFO  ProgressMeter -         LG00:5954952              8.6                 30010           3509.6
09:43:21.792 INFO  ProgressMeter -         LG00:6197510              8.7                 31070           3564.0
09:43:32.148 INFO  ProgressMeter -         LG00:6536991              8.9                 32730           3681.6
09:43:43.597 INFO  ProgressMeter -         LG00:6766249              9.1                 33860           3728.6
09:43:53.635 INFO  ProgressMeter -         LG00:6955403              9.2                 34760           3758.5
09:44:04.305 INFO  ProgressMeter -         LG00:7442422              9.4                 37080           3933.7
09:44:14.986 INFO  ProgressMeter -         LG00:7473235              9.6                 37330           3886.8
09:44:25.755 INFO  ProgressMeter -         LG00:7496394              9.8                 37500           3832.9
09:44:36.905 INFO  ProgressMeter -         LG00:7517745             10.0                 37670           3778.5
09:44:48.258 INFO  ProgressMeter -         LG00:7593993             10.2                 38120           3752.4
09:44:59.014 INFO  ProgressMeter -         LG00:7614158             10.3                 38270           3701.9
09:45:09.580 INFO  ProgressMeter -         LG00:7676875             10.5                 38750           3685.5
09:45:19.874 INFO  ProgressMeter -         LG00:7722667             10.7                 39090           3658.2
09:45:31.136 INFO  ProgressMeter -         LG00:7740503             10.9                 39220           3607.0
09:45:42.206 INFO  ProgressMeter -         LG00:7780263             11.1                 39520           3573.9
09:45:54.016 INFO  ProgressMeter -         LG00:7798081             11.3                 39660           3523.9
09:46:04.286 INFO  ProgressMeter -         LG00:7863197             11.4                 40070           3506.9
09:46:14.439 INFO  ProgressMeter -         LG00:7899618             11.6                 40360           3480.8
09:46:25.372 INFO  ProgressMeter -         LG00:7925333             11.8                 40560           3443.9
09:46:36.860 INFO  ProgressMeter -         LG00:7975264             12.0                 40860           3413.9
09:46:47.141 INFO  ProgressMeter -         LG00:8526182             12.1                 43380           3573.3
09:46:57.192 INFO  ProgressMeter -         LG00:8585602             12.3                 43740           3553.9
09:47:07.197 INFO  ProgressMeter -         LG00:9120284             12.5                 46170           3701.2
09:47:17.206 INFO  ProgressMeter -         LG00:9543851             12.6                 48120           3806.6
09:47:27.206 INFO  ProgressMeter -         LG00:9813475             12.8                 49410           3857.8
09:47:37.587 INFO  ProgressMeter -        LG00:10097281             13.0                 50730           3908.0
09:47:47.592 INFO  ProgressMeter -        LG00:10270065             13.1                 51620           3926.2
09:47:58.246 INFO  ProgressMeter -        LG00:10358319             13.3                 52140           3912.9
09:48:08.309 INFO  ProgressMeter -        LG00:10389039             13.5                 52390           3882.8
09:48:19.495 INFO  ProgressMeter -        LG00:10408693             13.7                 52550           3841.6
09:48:29.963 INFO  ProgressMeter -        LG00:10427812             13.9                 52710           3804.7
09:48:40.408 INFO  ProgressMeter -        LG00:10450887             14.0                 52910           3771.8
09:48:51.346 INFO  ProgressMeter -        LG00:10520796             14.2                 53410           3758.6
09:49:01.870 INFO  ProgressMeter -        LG00:10546727             14.4                 53630           3728.0
09:49:11.875 INFO  ProgressMeter -        LG00:10799325             14.6                 54910           3773.3
09:49:21.882 INFO  ProgressMeter -        LG00:11225675             14.7                 56950           3869.1
09:49:32.385 INFO  ProgressMeter -        LG00:11565421             14.9                 58610           3935.1
09:49:42.872 INFO  ProgressMeter -        LG00:11964606             15.1                 60470           4012.9
09:49:53.081 INFO  ProgressMeter -        LG00:12077003             15.2                 61040           4005.5
09:50:03.329 INFO  ProgressMeter -        LG00:12088807             15.4                 61130           3966.9
09:50:13.901 INFO  ProgressMeter -        LG00:12107864             15.6                 61280           3931.7
09:50:24.985 INFO  ProgressMeter -        LG00:12127186             15.8                 61440           3895.8
09:50:36.053 INFO  ProgressMeter -        LG00:12151385             16.0                 61580           3859.5
09:50:46.180 INFO  ProgressMeter -        LG00:12163983             16.1                 61660           3824.1
09:50:56.822 INFO  ProgressMeter -        LG00:12185001             16.3                 61800           3791.1
09:51:06.826 INFO  ProgressMeter -        LG00:12219750             16.5                 62010           3765.4
09:51:17.329 INFO  ProgressMeter -        LG00:12493541             16.6                 63280           3802.1
09:51:27.994 INFO  ProgressMeter -        LG00:12544140             16.8                 63650           3784.0
09:51:38.008 INFO  ProgressMeter -        LG00:12609553             17.0                 64190           3778.6
09:51:48.207 INFO  ProgressMeter -        LG00:12644378             17.2                 64470           3757.5
09:51:58.599 INFO  ProgressMeter -        LG00:12660104             17.3                 64590           3726.8
09:52:08.849 INFO  ProgressMeter -        LG00:12683598             17.5                 64770           3700.7
09:52:19.111 INFO  ProgressMeter -        LG00:12699678             17.7                 64900           3672.3
09:52:30.029 INFO  ProgressMeter -        LG00:12727698             17.9                 65120           3647.2
09:52:41.228 INFO  ProgressMeter -        LG00:12749555             18.0                 65290           3618.9
09:52:51.907 INFO  ProgressMeter -        LG00:12767374             18.2                 65430           3591.2
09:53:02.617 INFO  ProgressMeter -        LG00:12788667             18.4                 65580           3564.5
09:53:13.283 INFO  ProgressMeter -        LG00:13065900             18.6                 66920           3602.5
09:53:23.286 INFO  ProgressMeter -        LG00:13575552             18.7                 69350           3700.1
09:53:36.291 INFO  ProgressMeter -        LG00:13657779             19.0                 69760           3679.5
09:53:47.264 INFO  ProgressMeter -        LG00:13668331             19.1                 69820           3647.4
09:53:57.955 INFO  ProgressMeter -        LG00:13680037             19.3                 69900           3617.9
09:54:09.807 INFO  ProgressMeter -        LG00:13689436             19.5                 69970           3584.9
09:54:20.126 INFO  ProgressMeter -        LG00:13700996             19.7                 70060           3558.2
09:54:30.916 INFO  ProgressMeter -        LG00:13711469             19.9                 70140           3530.0
09:54:43.196 INFO  ProgressMeter -        LG00:13728016             20.1                 70280           3501.0
09:54:53.761 INFO  ProgressMeter -        LG00:13736274             20.3                 70330           3473.0
09:55:05.201 INFO  ProgressMeter -        LG00:13745169             20.4                 70390           3443.5
09:55:16.928 INFO  ProgressMeter -        LG00:13753004             20.6                 70440           3413.4
09:55:27.138 INFO  ProgressMeter -        LG00:13762882             20.8                 70500           3388.3
09:55:37.948 INFO  ProgressMeter -        LG00:13781573             21.0                 70650           3366.4
09:55:48.396 INFO  ProgressMeter -        LG00:13791431             21.2                 70720           3342.0
